store_id,emedix_name,name,address_line_1,formatted_address,city,state,pincode,country,latitude,longitude,delivery_radius_km,phone,opening_time,closing_time,is_active
14,EMEDIX SMART PHARMACY - Sherghati,Good Health Medical,"Quazi Bagh Market, Near Ram Mandir, Gola Bazar, Sherghati, Gaya - 824211 Bihar","Quazi Bagh Market, Near Ram Mandir, Gola Bazar, Sherghati, Gaya - 824211 Bihar",Sherghati,Bihar,824211,India,24.562461,84.79278,5,7763006316,,,1
15,"EMEDIX SMART PHARMACY - Mohanpur, Samastipur",Hare Krishan Enterprises,"Nakku Asthan, In front of Hanuman Mandir, Mohanpur Road, Samastipur - 848101, Bihar","Nakku Asthan, In front of Hanuman Mandir, Mohanpur Road, Samastipur - 848101, Bihar",Samastipur,Bihar,848101,India,25.848334,85.772653,5,8000028050,,,1
16,"EMEDIX SMART PHARMACY - Kahalgaon, Bhagalpur",Jeevan Rakhsha Medicals,"Chaudhary Tola, Near Bus Stand, NH-80, Kahalgaon, Bhagalpur - 813203, Bihar","Chaudhary Tola, Near Bus Stand, NH-80, Kahalgaon, Bhagalpur - 813203, Bihar",Bhagalpur,Bihar,813203,India,25.258036,87.232238,5,9296888256,,,1
17,EMEDIX SMART PHARMACY - Parsagarh Bazar,Nitya Medical,"Parsagarh Bazar, near Umashanker More, Ekma, Dakhin Parsa, Bihar 841220","Parsagarh Bazar, near Umashanker More, Ekma, Dakhin Parsa, Bihar 841220",Dakhin Parsa,Bihar,841220,India,26.003785,84.564226,5,7070000253,,,1
18,"EMEDIX SMART PHARMACY - Bartand,Dhanbad",Health Point - Dhanbad,"Plot No. 432, Mauja No. 7, Khata No. 68, Bartand, Hirapur, Near Pandit Clinic Road, Dhanbad - 826001, Jharkhand","Plot No. 432, Mauja No. 7, Khata No. 68, Bartand, Hirapur, Near Pandit Clinic Road, Dhanbad - 826001, Jharkhand",Dhanbad,Jharkhand,826001,India,23.809256,86.432643,5,9135667700,,,1
19,EMEDIX SMART PHARMACY - Godhna Road,Maa Gayatri Medical Hall,"Near Ara Railway Station, Godhna Road, Anaith, Ara , Bhojpur - 802301 , Bihar","Near Ara Railway Station, Godhna Road, Anaith, Ara , Bhojpur - 802301 , Bihar",Bhojpur,Bihar,802301,India,25.540417,84.664352,5,8541031979,,,1
20,EMEDIX SMART PHARMACY - Simrahi Bazar,Sneha Enterprises,"Suhani Complex, Simrahi Bazar, Gol Chowk, Raghopur, Supaul - 852131, Bihar","Suhani Complex, Simrahi Bazar, Gol Chowk, Raghopur, Supaul - 852131, Bihar",Supaul,Bihar,852131,India,26.309968,86.844283,5,7070224888,,,1
21,"EMEDIX SMART PHARMACY - Sakchi, Jamshedpur",Swasthica Wellness Mart,"Ground Floor, Holding -136, Line No- 5, Kasidih, Sakchi, Kalimati Road, Jamshedpur, East Singhbhum - 831001, Jharkhand","Ground Floor, Holding -136, Line No- 5, Kasidih, Sakchi, Kalimati Road, Jamshedpur, East Singhbhum - 831001, Jharkhand",East Singhbhum,Jharkhand,831001,India,22.821393,86.166429,5,8580109700,,,1
22,EMEDIX SMART PHARMACY - Bariatu,Pragati Drug Mart,"At- Harihar Singh Road, Near Rampayari Hospital, Bariatu, Ranchi - 834009 , Jharkhand","At- Harihar Singh Road, Near Rampayari Hospital, Bariatu, Ranchi - 834009 , Jharkhand",Ranchi,Jharkhand,834009,India,23.390787,85.343686,5,8084166993,,,1
26,"EMEDIX SMART PHARMACY - Choti Kalyani, Muzaffarpur",Medicine World,"Hamidi Complex, Amar Cinema Road, Chhoti Kalyani, Muzaffarpur - 842001, Bihar","Hamidi Complex, Amar Cinema Road, Chhoti Kalyani, Muzaffarpur - 842001, Bihar",Muzaffarpur,Bihar,842001,India,26.119081,85.393663,5,7549564555,,,1
27,"EMEDIX SMART PHARMACY - Malahi Pakri, Patna",Raj Healthcare - Malahai Pakri,"Nageshwar Complex, E/142, Lohia Nagar Housing Colony, Near Sai Hospital (Heart Unit), Patna - 800020, Bihar","Nageshwar Complex, E/142, Lohia Nagar Housing Colony, Near Sai Hospital (Heart Unit), Patna - 800020, Bihar",Patna,Bihar,800020,India,25.592141,85.156836,5,7091574708,,,1
28,EMEDIX SMART PHARMACY - Gomia,Rajlaxmi Medical Hall,"Near Children's Academy Public School, Main Road, Sawang 1 B Market, Gomia Bokaro Jharkhand- 829128","Near Children's Academy Public School, Main Road, Sawang 1 B Market, Gomia Bokaro Jharkhand- 829128",Sawang 1 B Market,Jharkhand,829128,India,23.796869,85.834557,5,7004798305,,,1
29,EMEDIX SMART PHARMACY - Changar More Bypass,Kavya Drug Store,"Changar More, East Ramkrishna Nagar, Bypas Road, Patna - 800027, Bihar","Changar More, East Ramkrishna Nagar, Bypas Road, Patna - 800027, Bihar",Patna,Bihar,800027,India,25.583368,85.147107,5,9576357009,,,1
30,"EMEDIX SMART PHARMACY - Jamalpur, Munger",Siddhi Drug Mart Munger,"Sadar Bazar, Near Tip Top Road, Jamalpur, Munger - 811214 Bihar","Sadar Bazar, Near Tip Top Road, Jamalpur, Munger - 811214 Bihar",Jamalpur,Bihar,811214,India,0,0,5,9241484091,,,1
32,"EMEDIX SMART PHARMACY - Motipur, Muzaffarpur",Shree Ganesh Medicine-Motipur,"Bhola Sah Bhawan, Baruraj Road, Motipur, Muzaffarpur - 843111, Bihar.","Bhola Sah Bhawan, Baruraj Road, Motipur, Muzaffarpur - 843111, Bihar.",Muzaffarpur,Bihar,843111,India,26.256559,85.161706,5,9296949600,,,1
33,"EMEDIX SMART PHARMACY - Kotwali Chowk, Bettiah",Panchmukhi Drug - Bettiah 3,"Near Panchmukhi Mandir, Kotwali Chowk, Bettiah, West Champaran - 845438, Bihar","Near Panchmukhi Mandir, Kotwali Chowk, Bettiah, West Champaran - 845438, Bihar",West Champaran,Bihar,845438,India,26.797021,84.495782,5,7004255212,,,1
34,"EMEDIX SMART PHARMACY - Mubarakpur, Danapur",Tilak Enterprises,"Tilak Sadan, Opposite Farm Gate, Mubarakpur, Danapur, 801503 - Bihar","Tilak Sadan, Opposite Farm Gate, Mubarakpur, Danapur, 801503 - Bihar",Danapur,Bihar,801503,India,25.623543,85.033135,5,9060911804,,,1
35,EMEDIX SMART PHARMACY - Tribhuvan More,Rudra Drug Point,"Tribhuvan More, Vijay Path, Khagaul Road, Danapur, Patna - 801105, Bihar","Tribhuvan More, Vijay Path, Khagaul Road, Danapur, Patna - 801105, Bihar",Patna,Bihar,801105,India,25.599676,85.04067,5,9288244415,,,1
36,"EMEDIX SMART PHARMACY - Sonari, Jamesdpur",Neer Medical- Jamsedpur,"Ward No. 01, Near 󿿢󿾀󿾘C󿿢󿾀󿾙 Road, West Layout, Kagal Nagar, Sonari, Jamshedpur, East Sighbhum - 831011, Jharkhand","Ward No. 01, Near 󿿢󿾀󿾘C󿿢󿾀󿾙 Road, West Layout, Kagal Nagar, Sonari, Jamshedpur, East Sighbhum - 831011, Jharkhand",East Sighbhum,Jharkhand,831011,India,22.821393,86.166429,5,7903002587,,,1
38,EMEDIX SMART PHARMACY - Gardanibagh,Madhav Wellness Center,"Surya Mandir, Kacchi Talab, Saristabad Road, Gardanibagh, Patna, 800002- Bihar","Surya Mandir, Kacchi Talab, Saristabad Road, Gardanibagh, Patna, 800002- Bihar",Patna,Bihar,800002,India,25.590129,85.119705,5,9955523358,09:00,22:59,1
39,EMEDIX SMART PHARMACY - Ashinya Nagar,Kalyan Medical - Ashiana Nagar Patna,"Jai Prakash Nagar, Near Saket Bhawan, Road No. 2, Ashiana Nagar, Patna - 800025, Bihar","Jai Prakash Nagar, Near Saket Bhawan, Road No. 2, Ashiana Nagar, Patna - 800025, Bihar",Patna,Bihar,800025,India,0,0,5,9155458535,,,1
45,EMEDIX SMART PHARMACY - Housing Colony Kankarbagh,Usha Wellness Mart,"T-362, Housing Colony, Azad Nagar, Road No.3, Near Sai Mandir, Lohia Nagar, Kankarbagh, Patna - 800020, Bihar","T-362, Housing Colony, Azad Nagar, Road No.3, Near Sai Mandir, Lohia Nagar, Kankarbagh, Patna - 800020, Bihar",Patna,Bihar,800020,India,25.592141,85.156836,5,9296900369,,,1
46,EMEDIX SMART PHARMACY - Ramdayalu,Reeta Drug Mart,"Near Mukti Nath Mandir, Ramdyalu Road, Muzaffarpur","Near Mukti Nath Mandir, Ramdyalu Road, Muzaffarpur",Ramdyalu Road,,,India,26.101538,85.389557,5,9122204111,,,1
47,"EMEDIX SMART PHARMACY - Sirsiya, Giridih",Evara Enterprises,"Mahavir Niwas, Block Road, Kalika Kunj Colony, Pandardih, Sirsiya, Giridih - 815301, Jharkhand","Mahavir Niwas, Block Road, Kalika Kunj Colony, Pandardih, Sirsiya, Giridih - 815301, Jharkhand",Giridih,Jharkhand,815301,India,24.204682,86.31182,5,9296983200,,,1
48,EMEDIX SMART PHARMACY - Supriya Cinema Chowk,One Stop Medicals,"Supriya Cinema Chowk, Bettiah, West Champaran - 845438, Bihar","Supriya Cinema Chowk, Bettiah, West Champaran - 845438, Bihar",West Champaran,Bihar,845438,India,26.806151,84.510165,5,7765006661,,,1
